Ensembl_gene_id	Expression_vlue
ENSG00000210082.2	41548.0451179
ENSG00000198938.2	37676.9598568
ENSG00000198804.2	35987.7068736
ENSG00000198886.2	28777.4877096
ENSG00000198712.1	23529.9923177
ENSG00000198888.2	21734.8903793
ENSG00000198899.2	18950.3794214
ENSG00000198727.2	16057.8634617
ENSG00000198840.2	14354.2953307
ENSG00000198763.3	10797.3478442
ENSG00000211459.2	8651.93505393
ENSG00000212907.2	5419.3189654
ENSG00000210196.2	4317.33458327
ENSG00000228253.1	3905.70036038
ENSG00000198695.2	3459.91827053
ENSG00000198786.2	2847.24212582
ENSG00000248527.1	2620.59001668
ENSG00000167244.16	2409.38984452
ENSG00000231852.5	1659.86007494
ENSG00000034510.5	1573.17663717
ENSG00000089220.4	1090.00421726
ENSG00000106211.8	1004.83144709
ENSG00000075624.12	978.635679668
ENSG00000197956.8	941.396610749
ENSG00000205542.9	892.936703477
ENSG00000187837.3	891.140918893
ENSG00000125148.6	866.844095052
ENSG00000126432.12	862.222496199
ENSG00000250535.1	812.859624226
ENSG00000143878.9	734.018340951
ENSG00000087086.12	701.850236726
ENSG00000111640.13	684.390039785
ENSG00000117984.11	679.225482349
ENSG00000184009.8	643.336952221
ENSG00000168653.9	633.026186163
ENSG00000164111.13	579.830496026
ENSG00000116133.10	545.836171603
ENSG00000102172.14	534.210130241
ENSG00000173267.12	500.471568004
ENSG00000130203.8	475.206066235
ENSG00000105894.10	456.626571085
ENSG00000161016.14	455.546050555
ENSG00000147465.10	452.61573789
ENSG00000130255.11	451.633537711
ENSG00000142534.5	439.690199011
ENSG00000101335.8	434.878441381
ENSG00000136942.13	422.620052105
ENSG00000118181.9	420.622599203
ENSG00000108298.8	413.577463634
ENSG00000231500.5	410.269129861
ENSG00000170315.12	406.34893406
ENSG00000166917.8	403.958536578
ENSG00000169715.13	397.139303591
ENSG00000113140.9	388.220617485
ENSG00000206503.10	384.982603631
ENSG00000166681.12	372.095251873
ENSG00000143819.11	371.646718094
ENSG00000096384.18	371.346428312
ENSG00000135404.10	369.819453634
ENSG00000148303.15	366.064496771
ENSG00000142168.13	365.700871189
ENSG00000161513.10	347.36372187
ENSG00000225630.1	346.996498204
ENSG00000019582.13	341.726386678
ENSG00000107223.11	340.719856303
ENSG00000176340.3	330.535723835
ENSG00000115541.9	328.722945151
ENSG00000142937.10	328.344950822
ENSG00000118680.11	324.116097073
ENSG00000102265.10	320.596221043
ENSG00000136999.4	320.540449632
ENSG00000142676.11	318.921392365
ENSG00000162244.9	315.169318835
ENSG00000087460.22	315.079745935
ENSG00000106153.12	310.133250246
ENSG00000278352.1	309.107049767
ENSG00000104833.9	308.702439416
ENSG00000137154.11	308.69111999
ENSG00000067560.9	301.12597438
ENSG00000105193.7	300.592407531
ENSG00000103363.13	298.304243712
ENSG00000133112.15	292.525068088
ENSG00000143153.11	291.527574861
ENSG00000111775.2	291.288563246
ENSG00000237836.4	290.266687322
ENSG00000173113.5	287.432662635
ENSG00000227097.5	287.145208811
ENSG00000149806.9	282.818374256
ENSG00000167658.14	281.772142714
ENSG00000124762.12	281.327326107
ENSG00000052802.11	279.328490017
ENSG00000136931.8	276.033716166
ENSG00000177600.7	275.494698478
ENSG00000130522.5	269.900738664
ENSG00000115828.14	269.425153647
ENSG00000125995.14	267.152929187
ENSG00000187193.8	266.166129449
ENSG00000169714.15	264.163824564
ENSG00000118418.13	258.030730547
ENSG00000116288.11	256.479009028
ENSG00000237973.1	254.891272203
ENSG00000072210.17	251.379665937
ENSG00000144381.15	251.211299668
ENSG00000111716.11	244.378819355
ENSG00000110955.7	243.571445053
ENSG00000120885.18	243.376610361
ENSG00000068697.6	241.792602488
ENSG00000099795.5	236.678303137
ENSG00000197746.12	236.18462476
ENSG00000166710.16	235.942283382
ENSG00000161281.9	234.718473296
ENSG00000184076.12	234.568787344
ENSG00000148795.5	233.12544364
ENSG00000111341.8	232.875909113
ENSG00000090581.8	231.189323512
ENSG00000108953.15	230.880840019
ENSG00000179218.12	230.054858483
ENSG00000126247.9	227.662471994
ENSG00000054148.16	226.335043343
ENSG00000114391.11	226.277601453
ENSG00000153071.13	225.339520535
ENSG00000140319.9	222.971647054
ENSG00000156508.16	220.100643236
ENSG00000108518.7	219.893220864
ENSG00000185043.9	219.809368676
ENSG00000165502.6	219.7193349
ENSG00000166794.4	218.592552195
ENSG00000228474.4	217.982097211
ENSG00000179085.7	217.628907513
ENSG00000146066.2	215.735568693
ENSG00000128524.4	214.990794076
ENSG00000159335.14	213.12607308
ENSG00000134590.12	212.524366749
ENSG00000044446.10	210.658239227
ENSG00000125356.6	210.18527073
ENSG00000172270.17	209.573563193
ENSG00000204287.12	209.314027119
ENSG00000137818.10	209.167819843
ENSG00000140988.14	209.13822635
ENSG00000008988.8	208.5923884
ENSG00000157514.15	206.951810613
ENSG00000104904.11	206.894021529
ENSG00000177954.10	206.813545749
ENSG00000142634.11	205.633289321
ENSG00000126267.7	205.015369607
ENSG00000179010.13	205.005343943
ENSG00000136888.6	204.950631178
ENSG00000129562.9	204.647211685
ENSG00000142541.15	203.327053271
ENSG00000142089.14	200.615326615
ENSG00000167468.15	199.5472681
ENSG00000131469.11	198.471664638
ENSG00000167815.10	197.96474903
ENSG00000169100.11	197.179855429
ENSG00000161203.12	195.834286674
ENSG00000140264.18	195.22161205
ENSG00000122406.11	192.486191971
ENSG00000074800.12	191.812138756
ENSG00000140459.16	190.303223909
ENSG00000151176.6	190.162357468
ENSG00000274012.1	189.768021232
ENSG00000173812.9	189.471356262
ENSG00000103024.6	188.078535129
ENSG00000105372.5	187.715622984
ENSG00000137714.2	186.434524874
ENSG00000065978.16	186.423294637
ENSG00000240972.1	186.183984061
ENSG00000170043.10	185.662478728
ENSG00000144713.11	185.215685321
ENSG00000100316.14	184.789593386
ENSG00000102409.9	184.664190023
ENSG00000181788.3	184.465025433
ENSG00000164405.9	182.966139829
ENSG00000145741.14	182.483793794
ENSG00000080824.17	181.901181209
ENSG00000115268.8	181.70439023
ENSG00000139644.11	181.13707844
ENSG00000092841.17	181.062684399
ENSG00000143742.11	179.58847734
ENSG00000174444.13	179.497719705
ENSG00000104964.13	179.321198345
ENSG00000198034.9	178.179208385
ENSG00000165629.18	178.056611917
ENSG00000188488.12	177.718709718
ENSG00000123562.15	175.676900528
ENSG00000112306.7	175.021926961
ENSG00000142192.19	174.448702617
ENSG00000185222.7	174.06115279
ENSG00000185825.14	174.042291813
ENSG00000117450.12	173.44953087
ENSG00000163453.10	173.24394932
ENSG00000100075.8	173.084878475
ENSG00000117592.8	171.633300285
ENSG00000132507.16	170.699220823
ENSG00000141232.4	170.593928849
ENSG00000265972.4	169.821419715
ENSG00000101160.12	169.368589886
ENSG00000084623.10	167.132150697
ENSG00000065518.7	166.936950754
ENSG00000102007.9	165.812971655
ENSG00000125835.16	164.325982911
ENSG00000189292.14	162.26570934
ENSG00000197958.11	162.173842852
ENSG00000237550.5	159.892823537
ENSG00000143761.12	159.159731528
ENSG00000171858.16	158.83319714
ENSG00000198755.9	158.742977282
ENSG00000079459.11	158.694927422
ENSG00000115738.8	158.260559911
ENSG00000105223.17	157.171841933
ENSG00000182117.5	154.795469956
ENSG00000204338.7	154.567172117
ENSG00000244242.1	151.859233406
ENSG00000105669.11	149.570751416
ENSG00000131981.14	149.517211319
ENSG00000159377.9	149.334854188
ENSG00000103018.15	149.208023508
ENSG00000175334.6	149.163808306
ENSG00000129824.14	149.149737664
ENSG00000104979.7	148.536598875
ENSG00000173915.11	148.439861789
ENSG00000188229.5	147.01513448
ENSG00000132475.7	145.064143326
ENSG00000172893.14	143.501650264
ENSG00000255302.3	143.143868653
ENSG00000092010.13	142.290029488
ENSG00000110700.5	142.237278215
ENSG00000232112.3	141.336134622
ENSG00000177697.16	139.773377805
ENSG00000106537.7	139.319895582
ENSG00000112335.13	138.65607325
ENSG00000233276.3	138.322805284
ENSG00000148175.11	138.249962911
ENSG00000196126.9	138.051257355
ENSG00000005486.15	138.028884837
ENSG00000147155.9	137.122770128
ENSG00000182899.13	136.303184651
ENSG00000004799.7	135.30653181
ENSG00000277791.3	135.043743356
ENSG00000138326.17	134.529728946
ENSG00000178952.7	134.48444647
ENSG00000149925.15	134.265043683
ENSG00000135111.13	134.04829755
ENSG00000135940.5	133.780033248
ENSG00000204628.10	132.814909169
ENSG00000075618.16	132.77011053
ENSG00000176978.12	131.322156747
ENSG00000198258.9	130.364318373
ENSG00000105701.14	130.265864619
ENSG00000198242.12	128.735193688
ENSG00000160752.13	128.064878136
ENSG00000074071.12	128.058789268
ENSG00000117519.14	127.082290544
ENSG00000169020.8	126.911792347
ENSG00000184678.9	126.742201686
ENSG00000075785.11	126.060066347
ENSG00000109475.15	124.97768384
ENSG00000106803.8	124.759991218
ENSG00000150459.11	124.164350993
ENSG00000164587.10	124.13035476
ENSG00000187514.13	123.905514822
ENSG00000111669.13	123.785334028
ENSG00000142669.12	123.67365638
ENSG00000183036.9	123.28040023
ENSG00000141504.10	122.655634404
ENSG00000127184.9	122.564557056
ENSG00000172354.8	122.326249829
ENSG00000115307.15	122.317530432
ENSG00000175756.12	122.175166341
ENSG00000214026.9	122.093185298
ENSG00000114923.15	122.015191287
ENSG00000266472.4	121.741610878
ENSG00000143256.4	121.3973448
ENSG00000072778.18	121.052988128
ENSG00000196230.11	120.479707741
ENSG00000197903.7	119.991709918
ENSG00000167526.12	119.762236027
ENSG00000101421.3	119.689974062
ENSG00000181019.11	119.620499083
ENSG00000111843.12	119.145427225
ENSG00000004142.10	118.941593579
ENSG00000082641.14	118.335321899
ENSG00000204308.7	118.265712432
ENSG00000165119.17	118.234231942
ENSG00000113013.11	117.953568496
ENSG00000170540.13	117.936208321
ENSG00000088832.13	117.487874294
ENSG00000183617.4	117.340260463
ENSG00000189077.9	117.326650017
ENSG00000099194.5	116.895962572
ENSG00000111897.6	116.47231464
ENSG00000163468.13	116.131581821
ENSG00000122566.19	115.324640022
ENSG00000026025.12	115.14425156
ENSG00000184897.5	115.115637077
ENSG00000025772.7	115.048538596
ENSG00000145284.10	115.018088486
ENSG00000166598.11	114.724798172
ENSG00000143149.11	114.24765384
ENSG00000100612.12	113.869162856
ENSG00000130066.15	113.743182822
ENSG00000185624.13	113.411313405
ENSG00000123358.18	112.910964819
ENSG00000142507.8	111.9095578
ENSG00000234745.8	111.842074287
ENSG00000101439.7	111.54361972
ENSG00000198931.9	111.381644907
ENSG00000057252.11	111.122051085
ENSG00000227063.5	110.949382079
ENSG00000089157.14	110.8993064
ENSG00000196683.9	110.187040701
ENSG00000114115.8	110.101647724
ENSG00000103769.8	109.800676673
ENSG00000156482.9	109.236830506
ENSG00000102316.15	109.177133499
ENSG00000002586.16	109.047477134
ENSG00000100906.9	108.922744939
ENSG00000131143.7	108.274843846
ENSG00000120129.5	107.553235271
ENSG00000073060.14	107.5172778
ENSG00000145198.13	107.445519476
ENSG00000131495.7	107.175641126
ENSG00000125901.5	106.619047667
ENSG00000140990.13	106.599451574
ENSG00000084234.15	106.446656896
ENSG00000088986.9	106.202231005
ENSG00000108679.11	105.891736166
ENSG00000137312.13	105.853568299
ENSG00000072506.11	105.733526179
ENSG00000179091.4	105.338086986
ENSG00000004059.9	105.24286322
ENSG00000173141.4	104.783812288
ENSG00000067225.16	104.267294797
ENSG00000129757.11	104.233108398
ENSG00000127884.4	103.686983403
ENSG00000156261.11	103.548496835
ENSG00000136156.11	103.406484186
ENSG00000213719.7	103.368107924
ENSG00000167671.10	103.319687161
ENSG00000129538.12	102.644557191
ENSG00000174748.17	102.577258943
ENSG00000196262.12	101.988489021
ENSG00000150991.13	101.967604482
ENSG00000196365.10	101.878200576
ENSG00000149932.15	101.820423706
ENSG00000228594.3	101.781875807
ENSG00000133142.16	101.774054345
ENSG00000165672.6	101.679827691
ENSG00000185608.7	101.627350266
ENSG00000179271.2	101.223299884
ENSG00000013275.6	100.888493739
ENSG00000168374.9	100.578512273
ENSG00000169976.6	100.329169312
ENSG00000089009.14	100.318266303
ENSG00000173486.11	100.175471118
ENSG00000112514.14	100.054283926
ENSG00000119421.6	99.7297948319
ENSG00000204592.8	99.7068498927
ENSG00000100632.9	99.5927106945
ENSG00000105398.3	99.189701804
ENSG00000148834.11	99.1258025271
ENSG00000198467.12	99.0312897501
ENSG00000171159.4	98.9846120166
ENSG00000089199.8	98.5308692071
ENSG00000108654.10	98.4117992637
ENSG00000044574.7	98.1186671307
ENSG00000105655.17	97.7530123558
ENSG00000167283.6	97.5539776306
ENSG00000135624.14	97.4345019916
ENSG00000213585.9	97.4272538837
ENSG00000023330.13	97.0017058529
ENSG00000174021.9	96.9087762614
ENSG00000130770.16	96.8832532559
ENSG00000136930.11	96.7641767368
ENSG00000157617.15	96.5503328918
ENSG00000144746.6	96.506153947
ENSG00000124767.6	96.5048485675
ENSG00000248290.1	95.5952661692
ENSG00000167656.4	95.443444311
ENSG00000135069.12	95.4227346637
ENSG00000147123.10	95.0517906781
ENSG00000160789.18	95.047563878
ENSG00000004776.10	95.0231029107
ENSG00000136238.16	94.5927083637
ENSG00000006712.13	94.3754418709
ENSG00000169564.6	93.9841743328
ENSG00000127022.13	93.8816518553
ENSG00000138069.15	93.692847755
ENSG00000162191.12	93.5660054786
ENSG00000165678.18	93.5532019195
ENSG00000125971.15	93.5238417431
ENSG00000136810.11	93.4495944722
ENSG00000125691.11	93.3719751138
ENSG00000177700.5	92.9928859278
ENSG00000179094.12	92.6537989246
ENSG00000063177.11	92.4315760442
ENSG00000130724.7	92.2535913436
ENSG00000064601.15	92.1987873058
ENSG00000100591.6	92.1278639282
ENSG00000107404.16	92.100118378
ENSG00000204291.9	91.7521651852
ENSG00000112110.8	91.6780507723
ENSG00000105699.15	91.6666986733
ENSG00000172531.13	91.5022171263
ENSG00000113732.7	91.30224826
ENSG00000171105.12	91.2289595595
ENSG00000171303.6	91.0744718047
ENSG00000166595.10	90.8138838244
ENSG00000182774.9	90.7174993737
ENSG00000104549.10	90.5008559388
ENSG00000174903.13	90.445113568
ENSG00000123975.4	90.2538381849
ENSG00000244038.8	89.8536650876
ENSG00000099622.12	89.6338735852
ENSG00000186480.11	89.6326756718
ENSG00000167641.9	89.5418376652
ENSG00000173372.15	89.2135785323
ENSG00000169241.16	88.9242914041
ENSG00000137463.4	88.8095175206
ENSG00000154723.11	88.7629968332
ENSG00000092820.16	88.7515913783
ENSG00000008018.8	88.482935769
ENSG00000143933.15	88.3622314008
ENSG00000185559.12	88.2838330136
ENSG00000243955.4	88.2720703259
ENSG00000134308.12	88.1592004805
ENSG00000134333.12	87.8087263118
ENSG00000233927.4	87.7946450919
ENSG00000180879.12	87.3420457267
ENSG00000067064.9	87.0479614027
ENSG00000141522.10	87.0397247229
ENSG00000214253.7	86.833730351
ENSG00000130204.11	86.6638377988
ENSG00000123349.12	86.5193281434
ENSG00000089063.13	86.38114225
ENSG00000171863.11	86.2693299498
ENSG00000135390.16	86.2064203694
ENSG00000125534.8	86.0344871333
ENSG00000167004.11	85.9979786273
ENSG00000013306.14	85.9862487213
ENSG00000178719.15	85.9478045513
ENSG00000123989.12	85.6529211929
