miRNA	Expression_vlue
hsa-let-7a-2-3p	15.3628
hsa-let-7a-3p	21.3137
hsa-let-7a-5p	7075.8
hsa-let-7b-3p	91.7673
hsa-let-7b-5p	26318.5
hsa-let-7c-3p	58.723
hsa-let-7c-5p	4864
hsa-let-7d-3p	469.551
hsa-let-7d-5p	251.688
hsa-let-7e-3p	26.1447
hsa-let-7e-5p	2055.53
hsa-let-7f-1-3p	5.35906
hsa-let-7f-2-3p	1.6905571
hsa-let-7f-5p	6813.36
hsa-let-7g-3p	159.942
hsa-let-7g-5p	870.524
hsa-let-7i-3p	80.0844
hsa-let-7i-5p	527.961
hsa-miR-100-5p	7632.87
hsa-miR-101-3p	9078.5
hsa-miR-101-5p	13.5963
hsa-miR-103a-3p	6585.54
hsa-miR-105-5p	221.565
hsa-miR-106a-3p	2.3599467
hsa-miR-106a-5p	151.97
hsa-miR-106b-3p	872.987
hsa-miR-106b-5p	334.22
hsa-miR-107	53.5561
hsa-miR-10a-3p	11.0128
hsa-miR-10a-5p	79485.4
hsa-miR-10b-3p	15.3264
hsa-miR-10b-5p	123493.56
hsa-miR-1179	1.1765832
hsa-miR-1180-5p	0.45164455
hsa-miR-1197	0.86933235
hsa-miR-1224-5p	5.53733
hsa-miR-1225-5p	1.0373658
hsa-miR-122-5p	4.11698
hsa-miR-1226-3p	4.65002
hsa-miR-1226-5p	0.131315224
hsa-miR-1227-3p	0.50471865
hsa-miR-1228-3p	1.569866
hsa-miR-1228-5p	4.6423
hsa-miR-1229-3p	2.068082
hsa-miR-1229-5p	0.33024975
hsa-miR-1234-3p	0.6449405
hsa-miR-1236-3p	0.24171786
hsa-miR-1237-3p	0.2891218
hsa-miR-1237-5p	0.0011000149
hsa-miR-1243	0.38433962
hsa-miR-124-3p	60.1098
hsa-miR-1246	0.48088658
hsa-miR-1248	3.10106
hsa-miR-1249-3p	19.7945
hsa-miR-1249-5p	0.2425113
hsa-miR-1250-3p	0.101968895
hsa-miR-1250-5p	0.75024874
hsa-miR-1252-5p	0.20907667
hsa-miR-1254	0.35338995
hsa-miR-1255a	0.69954216
hsa-miR-1256	0.3001765
hsa-miR-125a-3p	2.448347
hsa-miR-125a-5p	913.863
hsa-miR-125b-5p	1416.11
hsa-miR-1260a	0.08004866
hsa-miR-1260b	1.6826219
hsa-miR-1262	0.8942348
hsa-miR-126-3p	3828.05
hsa-miR-126-5p	230.62
hsa-miR-1266-5p	16.8549
hsa-miR-1267	0.107084306
hsa-miR-1269a	166.638
hsa-miR-1270	19.6101
hsa-miR-1271-5p	2.86294
hsa-miR-1273c	0.0016000089
hsa-miR-1273h-3p	0.41542896
hsa-miR-127-3p	2676.38
hsa-miR-127-5p	394.323
hsa-miR-1276	0.36499255
hsa-miR-1277-3p	5.74709
hsa-miR-1277-5p	0.16408415
hsa-miR-1278	0.3528101
hsa-miR-128-1-5p	111.204
hsa-miR-128-2-5p	0.46214336
hsa-miR-1283	0.30165762
hsa-miR-128-3p	1083.41
hsa-miR-1284	1.6680093
hsa-miR-1285-3p	0.7255644
hsa-miR-1287-3p	9.92341
hsa-miR-1287-5p	34.9679
hsa-miR-1289	0.044253275
hsa-miR-1290	0.037223273
hsa-miR-129-1-3p	4.60182
hsa-miR-1291	5.59818
hsa-miR-129-2-3p	40.8145
hsa-miR-1292-3p	0.1001001
hsa-miR-1292-5p	1.0315169
hsa-miR-129-5p	251.29
hsa-miR-1296-3p	0.145526646
hsa-miR-1296-5p	37.3017
hsa-miR-1301-3p	9.05401
hsa-miR-1301-5p	1.130342
hsa-miR-1303	0.0180096858
hsa-miR-1304-3p	2.9817524
hsa-miR-1304-5p	1.4244402
hsa-miR-1305	1.1300457
hsa-miR-1306-3p	1.0021209
hsa-miR-1306-5p	22.0652
hsa-miR-1307-3p	1536.71
hsa-miR-1307-5p	973.584
hsa-miR-130a-3p	119.677
hsa-miR-130b-3p	68.5178
hsa-miR-130b-5p	18.167
hsa-miR-1322	1.083324
hsa-miR-132-3p	241.417
hsa-miR-132-5p	5.1483
hsa-miR-133a-3p	15.8801
hsa-miR-133a-5p	1.8412529
hsa-miR-133b	47.5295
hsa-miR-1343-3p	3.16189
hsa-miR-134-3p	4.7867
hsa-miR-134-5p	503.277
hsa-miR-135a-3p	2.778532
hsa-miR-135a-5p	29.7866
hsa-miR-135b-3p	1.3096453
hsa-miR-135b-5p	730.561
hsa-miR-136-3p	62.9549
hsa-miR-136-5p	55.9156
hsa-miR-137	84.091
hsa-miR-138-1-3p	2.2889929
hsa-miR-138-5p	7.75109
hsa-miR-139-3p	114.433
hsa-miR-139-5p	44.4261
hsa-miR-1-3p	2981.54
hsa-miR-140-3p	400.942
hsa-miR-140-5p	46.6229
hsa-miR-141-3p	1811.18
hsa-miR-141-5p	1621.29
hsa-miR-142-3p	558.057
hsa-miR-143-3p	201651
hsa-miR-143-5p	273.573
hsa-miR-144-3p	85.6071
hsa-miR-144-5p	2804.5
hsa-miR-145-3p	47.7878
hsa-miR-145-5p	1593.92
hsa-miR-146a-3p	1.2305974
hsa-miR-146a-5p	490.128
hsa-miR-146b-3p	65.1644
hsa-miR-146b-5p	469.827
hsa-miR-148a-3p	79410.5
hsa-miR-148a-5p	198.782
hsa-miR-148b-3p	283.991
hsa-miR-148b-5p	1.2820431
hsa-miR-149-3p	2.7252544
hsa-miR-149-5p	292.979
hsa-miR-150-3p	2.3944436
hsa-miR-150-5p	812.553
hsa-miR-151a-3p	3074
hsa-miR-151a-5p	109.749
hsa-miR-151b	1.7506392
hsa-miR-152-3p	831.686
hsa-miR-152-5p	1.1789861
hsa-miR-1537-3p	0.28200933
hsa-miR-155-3p	9.22256
hsa-miR-155-5p	125.727
hsa-miR-15a-3p	1.2220569
hsa-miR-15a-5p	203.763
hsa-miR-15b-3p	40.2513
hsa-miR-15b-5p	495.472
hsa-miR-16-1-3p	5.19574
hsa-miR-16-2-3p	31.8522
hsa-miR-16-5p	838.673
hsa-miR-17-3p	273.108
hsa-miR-17-5p	1569.92
hsa-miR-181a-3p	1038.11
hsa-miR-181a-5p	1371.36
hsa-miR-181b-3p	59.9057
hsa-miR-181b-5p	185.512
hsa-miR-181c-3p	160.664
hsa-miR-181c-5p	44.8563
hsa-miR-181d-3p	0.10798462
hsa-miR-181d-5p	6.23933
hsa-miR-182-3p	0.62964875
hsa-miR-182-5p	13120.9
hsa-miR-183-3p	1.8878162
hsa-miR-183-5p	11863.3
hsa-miR-184	1840.76
hsa-miR-185-3p	32.0153
hsa-miR-185-5p	136.655
hsa-miR-186-3p	0.8009111
hsa-miR-186-5p	211.311
hsa-miR-18a-3p	1.5128636
hsa-miR-18a-5p	22.884
hsa-miR-18b-3p	0.42581053
hsa-miR-18b-5p	1.5849802
hsa-miR-1908-3p	0.25758222
hsa-miR-1908-5p	0.133148255
hsa-miR-1909-3p	0.0220188351
hsa-miR-1909-5p	0.037630352
hsa-miR-190a-5p	15.0976
hsa-miR-190b	37.9773
hsa-miR-1910-3p	1.4846769
hsa-miR-1910-5p	0.7354866
hsa-miR-1913	0.21302825
hsa-miR-191-3p	4.272
hsa-miR-1914-3p	0.40058616
hsa-miR-1914-5p	1.0246973
hsa-miR-1915-3p	0.05500206
hsa-miR-1915-5p	0.57638914
hsa-miR-191-5p	862.796
hsa-miR-192-3p	2.7249198
hsa-miR-192-5p	304.124
hsa-miR-193a-3p	24.5248
hsa-miR-193a-5p	709.8
hsa-miR-193b-5p	18.6419
hsa-miR-194-3p	3.56502
hsa-miR-194-5p	156.243
hsa-miR-195-3p	6.71516
hsa-miR-195-5p	64.3567
hsa-miR-196a-3p	2.1278636
hsa-miR-196a-5p	519.599
hsa-miR-196b-3p	0.44988952
hsa-miR-196b-5p	1690.95
hsa-miR-197-3p	1016.97
hsa-miR-197-5p	0.59371093
hsa-miR-1976	8.94673
hsa-miR-199a-3p	4014.26
hsa-miR-199a-5p	1972.7
hsa-miR-199b-3p	4754.16
hsa-miR-19a-3p	50.5284
hsa-miR-19a-5p	0.20992225
hsa-miR-19b-1-5p	17.8971
hsa-miR-19b-2-5p	0.23387494
hsa-miR-19b-3p	113.451
hsa-miR-200a-3p	713.271
hsa-miR-200a-5p	696.394
hsa-miR-200b-3p	1433.21
hsa-miR-200b-5p	30.3013
hsa-miR-200c-3p	6922.82
hsa-miR-200c-5p	81.261
hsa-miR-202-3p	0.27972666
hsa-miR-202-5p	1.3105421
hsa-miR-203a-3p	83143.9
hsa-miR-203a-5p	16.495
hsa-miR-203b-3p	308.929
hsa-miR-204-3p	42.9808
hsa-miR-204-5p	6401.31
hsa-miR-205-3p	8.74321
hsa-miR-205-5p	9033.62
hsa-miR-206	13461.2
hsa-miR-20a-3p	12.0479
hsa-miR-20a-5p	888.05
hsa-miR-20b-3p	28.8563
hsa-miR-20b-5p	213.573
hsa-miR-210-3p	1568.03
hsa-miR-210-5p	1.557382
hsa-miR-211-5p	7.94618
hsa-miR-2116-5p	0.5407244
hsa-miR-212-3p	19.021
hsa-miR-21-3p	1174.01
hsa-miR-214-5p	164.209
hsa-miR-215-5p	22.1327
hsa-miR-21-5p	79819.6
hsa-miR-216b-3p	0.065442227
hsa-miR-218-1-3p	1.23988
hsa-miR-218-2-3p	0.27189504
hsa-miR-218-5p	79.3656
hsa-miR-219a-5p	106.362
hsa-miR-219b-3p	0.7116516
hsa-miR-219b-5p	0.52181264
hsa-miR-221-3p	143.469
hsa-miR-221-5p	8.99944
hsa-miR-222-3p	36.464
hsa-miR-223-3p	847.427
hsa-miR-22-3p	118707
hsa-miR-224-3p	8.52664
hsa-miR-224-5p	257.627
hsa-miR-22-5p	52.4015
hsa-miR-2276-3p	0.3637363
hsa-miR-2276-5p	0.44966757
hsa-miR-2277-5p	0.62649796
hsa-miR-2278	0.08945651
hsa-miR-23a-3p	2000.33
hsa-miR-23a-5p	16.6974
hsa-miR-23b-3p	440.747
hsa-miR-23b-5p	1.5850793
hsa-miR-23c	2.9531518
hsa-miR-24-1-5p	11.8269
hsa-miR-24-2-5p	22.897
hsa-miR-24-3p	1118.21
hsa-miR-2467-5p	0.16347731
hsa-miR-25-3p	5807.81
hsa-miR-25-5p	0.2638586
hsa-miR-2682-3p	1.9753959
hsa-miR-2682-5p	1.9571543
hsa-miR-26a-1-3p	14.0255
hsa-miR-26a-2-3p	12.0207
hsa-miR-26a-5p	1327.74
hsa-miR-26b-3p	28.252
hsa-miR-26b-5p	1152.2
hsa-miR-27a-3p	2845.23
hsa-miR-27a-5p	40.2423
hsa-miR-27b-3p	4172.94
hsa-miR-27b-5p	15.9394
hsa-miR-28-3p	1493.96
hsa-miR-28-5p	109.201
hsa-miR-296-3p	1.0464979
hsa-miR-296-5p	16.9309
hsa-miR-299-3p	1.003031
hsa-miR-299-5p	22.1922
hsa-miR-29a-3p	8613.28
hsa-miR-29a-5p	10.5368
hsa-miR-29b-1-5p	19.6758
hsa-miR-29b-2-5p	111.709
hsa-miR-29b-3p	986.292
hsa-miR-29c-3p	4996.86
hsa-miR-29c-5p	51.8665
hsa-miR-301a-3p	24.8955
hsa-miR-301a-5p	15.5689
hsa-miR-301b-3p	3.41787
hsa-miR-301b-5p	2.0473572
hsa-miR-302c-3p	0.16305767
hsa-miR-302d-3p	0.31914954
hsa-miR-3064-3p	0.48345532
hsa-miR-3064-5p	0.5923123
hsa-miR-3065-3p	265.614
hsa-miR-3065-5p	9.0566
hsa-miR-3074-3p	0.5917166
hsa-miR-3074-5p	20.0141
hsa-miR-30a-3p	17969.7
hsa-miR-30a-5p	40314.3
